company_name,stand_number,ai-start,ai-data-mess,mtd-volume,mtd-clients,margin,hiring,retention,burnout,docs,chasing,defensible-files,aml,disconnected,ai-roi,advisory,advisory-charge,winning,ai-team,cyber,penalties,frs102,portal,ai-govern,ai-skills,onboarding,month-end,bankfeeds,cpd,career,leadership,cashflow,pe,exit,outsource,niche,cross-border,rd,top_tags
now:pensions,814,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.30,0.30,0.00,0.60,0.00,0.60,0.50,0.30,0.00,0.30,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,retention(0.60)|disconnected(0.60)|advisory(0.60)
Numiva,1615,0.60,0.80,0.40,0.00,0.50,0.00,0.30,0.70,0.60,0.20,0.50,0.00,0.30,0.60,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.80,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|month-end(0.80)|burnout(0.70)
Nxsys,635,0.30,0.20,0.00,0.00,0.20,0.00,0.00,0.30,0.20,0.00,0.30,0.00,0.60,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.30,0.20,0.00,0.30,0.00,0.60,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.30,0.00,cashflow(0.70)|disconnected(0.60)|bankfeeds(0.60)
Occasio,1090,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.80,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.80,0.00,0.80,0.00,advisory-charge(0.80)|outsource(0.80)|cross-border(0.80)
Odoo,1250,0.60,0.70,0.60,0.30,0.40,0.00,0.00,0.50,0.70,0.60,0.60,0.30,0.80,0.50,0.50,0.60,0.60,0.30,0.30,0.40,0.30,0.60,0.40,0.20,0.50,0.70,0.60,0.20,0.00,0.00,0.50,0.00,0.00,0.20,0.00,0.30,0.20,disconnected(0.80)|ai-data-mess(0.70)|docs(0.70)
OnboardMe,501F,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.60,0.00,0.80,0.60,0.00,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.70,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,onboarding(1.00)|aml(0.80)|portal(0.70)
Osome,1725,0.60,0.30,0.70,0.20,0.40,0.00,0.00,0.50,0.20,0.30,0.40,0.30,0.60,0.50,0.60,0.30,0.00,0.20,0.00,0.30,0.00,0.20,0.20,0.00,0.50,0.60,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,cross-border(0.80)|mtd-volume(0.70)|ai-start(0.60)
Outbooks,1010,0.00,0.00,0.60,0.30,0.80,0.80,0.60,0.70,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|margin(0.80)|hiring(0.80)
Outmin,1935,0.70,0.80,0.60,0.30,0.70,0.80,0.60,0.80,0.70,0.50,0.60,0.00,0.50,0.80,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.40,0.80,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|hiring(0.80)|burnout(0.80)
Pacific Global Solutions,1344,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.60,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|burnout(0.60)|month-end(0.60)
Papertrail,1071,0.70,0.80,0.40,0.30,0.60,0.00,0.30,0.60,0.90,0.90,0.50,0.00,0.40,0.50,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.20,0.00,0.40,0.50,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.90)|chasing(0.90)|ai-data-mess(0.80)
Payroll Sorted Ltd,730,0.00,0.00,0.00,0.00,0.60,0.80,0.30,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|margin(0.60)
Penfold,835,0.30,0.00,0.00,0.00,0.20,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.20,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,retention(0.60)|ai-start(0.30)|burnout(0.30)
People's Pension,1214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cyber(0.30)|portal(0.30)
Pinnacle Global Group,485,0.00,0.00,0.60,0.00,0.60,0.80,0.30,0.80,0.30,0.60,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.60,0.60,0.00,0.60,0.00,0.00,1.00,0.00,0.30,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Platformed,1455,0.60,0.70,0.00,0.00,0.70,0.00,0.30,0.60,0.80,0.30,0.80,0.00,0.40,0.80,0.00,0.00,0.00,0.50,0.00,0.00,0.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|defensible-files(0.80)|ai-roi(0.80)
Pleo,350,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.20,0.00,0.60,0.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.30,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,chasing(0.60)|cashflow(0.50)|disconnected(0.40)
Plot AI,1845,0.60,0.00,0.00,0.00,0.70,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,winning(0.80)|margin(0.70)|ai-start(0.60)
Practice Gateway,1360,0.60,0.30,0.70,0.40,0.30,0.00,0.00,0.50,0.30,0.60,0.40,0.80,0.30,0.40,0.00,0.00,0.00,0.40,0.30,0.50,0.00,0.60,0.30,0.00,0.80,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(0.80)|onboarding(0.80)|mtd-volume(0.70)
Pro Drive IT,980,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.30,0.20,0.00,0.00,0.00,0.20,0.80,0.00,0.00,0.00,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,cyber(0.80)|ai-start(0.30)|disconnected(0.30)
ProfitPro,1094,0.00,0.00,0.00,0.00,0.90,0.00,0.60,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.50,0.40,0.70,0.00,0.00,0.00,0.00,0.60,0.00,0.00,margin(0.90)|advisory-charge(0.80)|burnout(0.70)
Progress,1765,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.00,0.00,0.40,0.60,0.00,0.50,0.50,0.30,0.70,0.00,0.00,0.40,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,cyber(0.70)|ai-start(0.60)|ai-roi(0.60)
PSS,1745,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,rd(1.00)
QYON AI Accounting Software,1470,0.60,0.80,0.80,0.30,0.30,0.00,0.00,0.60,0.80,0.60,0.60,0.00,0.60,0.30,0.00,0.30,0.30,0.00,0.00,0.30,0.00,0.30,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|mtd-volume(0.80)|docs(0.80)
Rainstone Money,530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,portal(0.30)|cashflow(0.30)
randd uk,890,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,1.00,rd(1.00)|outsource(0.30)
RB Accounts & Offshore Directorship,501D,0.00,0.00,0.30,0.00,0.80,0.80,0.00,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|margin(0.80)|hiring(0.80)
Reach Reporting,1770,0.30,0.80,0.00,0.00,0.30,0.00,0.00,0.40,0.30,0.00,0.00,0.00,0.60,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|month-end(0.70)|cashflow(0.70)
Receeva,501K,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.60,0.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|cyber(0.80)|defensible-files(0.70)
Record OS,1824,0.60,0.80,1.00,0.60,0.80,0.30,0.30,0.70,0.70,0.60,0.50,0.00,0.40,0.70,0.00,0.00,0.00,0.30,0.00,0.50,0.00,0.40,0.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(1.00)|ai-data-mess(0.80)|margin(0.80)
RentalBux,991,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,0.80,0.60,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|docs(0.80)|chasing(0.60)
RewardsEarth Ltd,1509,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
RICOH and ScanSnap Scanners,575,0.30,0.80,0.80,0.70,0.30,0.00,0.00,0.60,1.00,0.60,0.70,0.20,0.60,0.30,0.00,0.00,0.00,0.20,0.20,0.30,0.00,0.20,0.20,0.00,0.50,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|ai-data-mess(0.80)|mtd-volume(0.80)
RollPay Bureau Limited,881,0.00,0.00,0.70,0.30,0.60,0.80,0.00,0.60,0.30,0.40,0.50,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.20,0.00,0.00,0.50,0.40,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.90,0.00,0.20,0.00,outsource(0.90)|hiring(0.80)|mtd-volume(0.70)
Roma Finance,695,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,margin(0.30)|advisory(0.30)|advisory-charge(0.30)
Roomex,250,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,0.30,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.40,0.00,0.00,0.20,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,portal(0.40)|chasing(0.30)|month-end(0.30)
RPost,1161,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.30,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|defensible-files(0.80)|cyber(0.80)
RQ,174,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,advisory-charge(0.80)|winning(0.80)|margin(0.60)
Rubli Lease Accounting Software,564,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.30,0.20,0.00,0.60,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,frs102(1.00)|defensible-files(0.60)|ai-roi(0.40)
Sage,1220,0.60,0.30,0.80,0.30,0.30,0.00,0.00,0.40,0.30,0.40,0.50,0.30,0.60,0.40,0.00,0.00,0.00,0.30,0.20,0.50,0.20,0.30,0.20,0.20,0.30,0.50,0.40,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.20,0.10,mtd-volume(0.80)|ai-start(0.60)|disconnected(0.60)
Scan-Optics Ltd,1410,0.30,0.80,0.20,0.30,0.00,0.00,0.00,0.60,1.00,0.40,0.60,0.00,0.30,0.20,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.20,0.20,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|ai-data-mess(0.80)|burnout(0.60)
Scope,1140,0.60,0.30,0.40,0.30,0.50,0.00,0.00,0.30,0.40,0.50,0.40,0.30,0.70,0.50,0.50,0.70,0.70,0.30,0.30,0.20,0.20,0.50,0.20,0.20,0.50,0.40,0.30,0.00,0.00,0.00,0.40,0.00,0.00,0.20,0.00,0.30,0.00,disconnected(0.70)|advisory-charge(0.70)|winning(0.70)
SEIDOR,1840,0.30,0.60,0.20,0.00,0.20,0.00,0.00,0.30,0.50,0.20,0.40,0.00,0.60,0.20,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.20,0.30,0.00,0.30,0.80,0.40,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.20,0.00,month-end(0.80)|ai-data-mess(0.60)|disconnected(0.60)
Silverfin,1095,0.60,0.80,0.70,0.30,0.60,0.00,0.30,0.50,1.00,0.40,0.80,0.20,0.90,0.70,0.70,0.30,0.00,0.30,0.00,0.20,0.20,0.30,0.20,0.00,0.40,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|disconnected(0.90)|ai-data-mess(0.80)
smartZebra GmbH,1726,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.70,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.30,0.00,0.60,0.30,0.00,advisory(0.70)|ai-roi(0.60)|advisory-charge(0.60)
Socket Digital Limited,1741,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Speedbooks,1754,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.70,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,advisory(0.70)|month-end(0.70)|margin(0.60)
Spreadsheetsoftware - Understand Every Spreadsheet,1401,0.30,0.60,0.00,0.00,0.30,0.00,0.20,0.30,0.00,0.00,0.20,0.00,0.30,0.60,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.60)|ai-roi(0.60)|month-end(0.50)
Starling,1270,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.80,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.30,0.00,bankfeeds(0.80)|mtd-volume(0.60)|cashflow(0.60)
Sterling,631,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.80,0.00,0.00,1.00,0.00,0.30,0.00,outsource(1.00)|chasing(0.80)|cashflow(0.80)
Streem Connect,780,0.30,0.80,0.60,0.30,0.00,0.00,0.00,0.70,0.30,1.00,0.40,0.00,0.30,0.40,0.00,0.00,0.00,0.20,0.00,0.30,0.00,0.60,0.00,0.00,0.50,0.70,1.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,chasing(1.00)|bankfeeds(1.00)|ai-data-mess(0.80)
SuiteFiles,931,0.30,0.80,0.30,0.20,0.40,0.20,0.30,0.50,1.00,0.90,0.70,0.20,0.60,0.30,0.60,0.20,0.00,0.30,0.40,0.00,0.00,0.70,0.20,0.00,0.50,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(1.00)|chasing(0.90)|ai-data-mess(0.80)
Summa Tech,1750,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.80,0.60,0.70,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,aml(1.00)|onboarding(1.00)|docs(0.80)
Suralink,1618,0.70,0.90,0.50,0.20,0.40,0.30,0.30,0.60,1.00,0.70,0.80,0.20,0.60,0.70,0.20,0.00,0.20,0.50,0.40,0.00,0.00,0.80,0.40,0.30,0.50,0.30,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,docs(1.00)|ai-data-mess(0.90)|defensible-files(0.80)
Swoop Funding,1340,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,cashflow(0.60)|margin(0.30)|disconnected(0.30)
Syndesi,501L,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,advisory(0.80)|margin(0.60)|advisory-charge(0.60)
Tax Accountant Franchise,985,0.00,0.00,0.60,0.30,0.60,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.00,0.00,mtd-volume(0.60)|margin(0.60)|winning(0.60)
Tax Canary,1445,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.00,cross-border(1.00)|advisory(0.80)|advisory-charge(0.70)
Tax Essentials for Advisors,784,0.70,0.30,0.80,0.20,0.40,0.30,0.20,0.40,0.10,0.00,0.20,0.00,0.10,0.50,0.30,0.10,0.00,0.20,0.30,0.60,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.80,mtd-volume(0.80)|rd(0.80)|ai-start(0.70)
Tax Notes,585,0.00,0.00,0.60,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.80,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,winning(0.80)|mtd-volume(0.60)|margin(0.60)
Tax World UK,254,0.70,0.20,0.30,0.20,0.40,0.30,0.20,0.40,0.00,0.00,0.00,0.00,0.10,0.60,0.30,0.20,0.00,0.30,0.00,0.40,0.20,0.00,0.20,0.30,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.50,ai-start(0.70)|ai-roi(0.60)|rd(0.50)
TaxAssist Accountants,667,0.00,0.00,0.30,0.20,0.60,0.70,0.30,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.60,0.30,0.70,0.00,0.00,0.30,0.20,0.00,0.00,0.00,0.40,0.00,0.00,0.70,0.60,0.50,0.20,0.00,0.40,0.20,0.30,0.20,0.20,hiring(0.70)|winning(0.70)|cpd(0.70)
TaxCalc,750,0.00,0.00,0.80,0.30,0.60,0.00,0.00,0.30,0.30,0.60,0.60,0.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.30,0.60,0.00,0.00,0.80,0.60,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|onboarding(0.80)|disconnected(0.70)
TaxDome,1670,0.30,0.60,0.40,0.30,0.60,0.00,0.00,0.50,0.80,0.70,0.70,0.20,0.90,0.30,0.40,0.60,0.60,0.20,0.30,0.20,0.00,1.00,0.10,0.00,0.60,0.30,0.20,0.00,0.00,0.00,0.60,0.00,0.00,0.20,0.00,0.00,0.00,portal(1.00)|disconnected(0.90)|docs(0.80)
TaxNav,1314,0.00,0.00,1.00,0.60,0.30,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(1.00)|penalties(0.80)|mtd-clients(0.60)
Taxpad Ltd,880,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,0.20,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.60,0.20,0.30,0.00,0.00,0.70,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|onboarding(0.70)|defensible-files(0.60)
Telleroo,1185,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.30,0.00,0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.60,0.00,cashflow(0.80)|disconnected(0.60)|cyber(0.60)
The AIR Network Limited,970,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
The Audit Experts,1640,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.30,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|defensible-files(0.80)|hiring(0.60)
The Chartered Institute of Payroll Professionals,714,0.00,0.00,0.00,0.00,0.20,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.80,0.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(0.80)|career(0.70)|ai-skills(0.60)
The dot HQ,1021,0.00,0.00,0.30,0.00,0.60,0.80,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.30,0.00,0.30,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
The Ink Group,534,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,retention(0.60)|advisory(0.60)|advisory-charge(0.60)
The Institute of Chartered Accountants of India,1830,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.80,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(0.80)|ai-skills(0.60)|career(0.60)
The Institute of Chartered Accountants of Nepal,1825,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.80,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(0.80)|ai-skills(0.60)|career(0.60)
